,KL,JB,SG,PJ
1316,7017457,6351080,7288236,5164055
1317,7856455,8362034,6611702,8111935
1318,6241669,6449889,6773688,9547827
1319,6246420,9330230,8256743,9412712
1320,5825096,7232609,6057055,5113447
1321,8120731,7308668,7343796,9053604
1322,7748058,6513500,9235363,6454771
1323,7006406,8608214,7096199,9930168
1324,5897288,8404409,9539308,8973480
1325,8267674,5898402,6571183,9504862
1326,9659851,6957788,5848964,6239203
1327,7321767,9930447,9036113,6199182
1328,9831595,8247657,6519549,8460433
1329,8033928,8310939,9198295,8390108
1330,7848155,9358597,6906706,8180199
1331,5462672,8032209,7351137,5565507
1332,7213798,6979509,5929330,6395787
1333,5191165,6507603,7837232,7412869
1334,5512265,8240135,9212363,6128114
1335,6609961,5004951,6788502,6706311
1336,7742743,8223666,7503774,8067926
1337,5155257,7088416,6208091,7712154
1338,8557206,6165478,8836996,5504309
1339,6010950,8067949,6779445,9408142
1340,7983835,7920607,9904081,5873104
1341,7799599,8788197,6695874,6397801
1342,7771784,9803000,8708699,6853581
1343,5420616,6162802,5325748,8227803
1344,9176269,8284471,6159829,6065636
1345,7297615,5475588,6131593,8541435
1346,9855163,8560306,6343589,8443085
1347,9351068,6840749,5066170,6738122
1348,9689307,6814940,9058425,7743580
1349,6714591,7834379,9546860,9826246
1350,6432203,7216382,6507714,8519469
1351,6605395,6163851,8858509,9240365
1352,6304203,7398922,5059018,6525020
1353,9334169,5175420,9276388,7268748
1354,9750115,6311531,7741322,5626812
1355,5709543,8127146,8556289,7464200
1356,6782652,6557137,5051881,9839137
1357,5076805,9530855,9805459,5343705
1358,7495135,7496096,5277236,8050967
1359,6780285,8792212,8343413,5688394
1360,5309818,5776790,6974146,6713842
1361,6706525,7117359,7837961,7151924
1362,8698790,7301453,9322166,6291468
1363,6680471,6437559,6453473,9751401
1364,6032486,6511706,5860911,7631429
1365,8648675,9681692,5173692,7943892
1366,5531721,7815721,9732862,8420529
1367,6056048,5761945,8722765,8134898
1368,7989837,6398454,6813909,7986757
1369,8843345,7899596,6014637,6874018
1370,5293582,8921143,7756210,5219027
1371,8523819,7932006,6723158,6630774
1372,5811542,7175937,8444533,5770054
1373,7458943,6309701,8874956,9189999
1374,7824048,9035136,7524823,5320133
1375,6053334,8519487,7844046,6266694
1376,8520286,8965747,7095325,9620275
1377,9042612,9134356,5954139,8620413
1378,6610009,6741070,5962979,6673163
1379,8516049,6124562,8092030,6924410
1380,9310378,6438343,6228723,8201422
1381,8837213,8176393,7972830,7582220
1382,5340773,9294186,7602453,7368238
1383,5828368,9350683,9349646,9196669
1384,6792563,5432622,6045908,6517631
1385,6002137,8309243,6612971,9347330
1386,5825808,7506706,8957888,9525254
1387,9345436,6162658,5276450,9928566
1388,6392048,5006223,8509896,9802819
1389,6303006,5171092,5677837,7226840
1390,9261421,7464475,8410272,8855732
1391,8619630,8997533,5824618,6138283
1392,8542619,6805783,8868230,9986799
1393,8664392,8569416,9533976,8789847
1394,6006873,8025143,7079186,5844096
1395,8439275,6059454,7461865,8746035
1396,5723476,6100820,8666583,6049343
1397,8701951,6789365,7421928,9621329
1398,8641758,5342479,8377821,5867419
1399,7064271,8055633,8010317,5445786
1400,9890934,9999826,7570086,7033446
1401,6349037,6686900,6198389,8425187
1402,8227843,9157585,5216248,6661960
1403,8393259,6890139,5488713,9214027
1404,6729973,9744939,6876722,7400298
1405,7312472,8294957,9188182,7941605
1406,6624540,5591557,7938104,7082680
1407,6705135,8107737,5036896,9078345
1408,9706954,5629807,8459499,9591399
1409,9541792,7189935,8599378,8895533
1410,6696589,9578562,6839338,6935136
1411,9722674,7371897,8808315,8260438
1412,7488604,8573592,8967310,7449702
1413,9530819,6779861,9404723,8578827
1414,8371850,7768380,6216028,5356816
1415,8166808,7794837,8557044,6704986
1416,9603317,8904619,6802877,5458937
1417,8335439,7070208,5324862,8976307
1418,9023280,6192162,6092954,5757659
1419,9637139,5147174,6607238,7029482
1420,8013947,9057129,8730264,8094169
1421,9609015,6131610,6694058,5096830
1422,8241371,8537321,7091633,8129825
1423,6177363,6273641,7290904,8419469
1424,7440463,7560407,9399993,6658116
1425,5903802,8105523,5196537,9492504
1426,7710406,8241766,7589703,5463106
1427,8391993,9829063,5675563,5597367
1428,5200744,8630053,6249080,7438498
1429,5154758,7801515,5412909,8968821
1430,8240375,6384571,6966906,8971401
1431,5809329,5452638,8375797,7814641
1432,8985270,9439117,9636230,6286789
1433,7309479,6194919,8863112,5246395
1434,5021351,7222000,7548292,9718060
1435,9915241,6934325,9487254,9725245
1436,5871356,6332369,5075630,8145064
1437,5469254,9792714,9545437,9305308
1438,6307363,9663064,9904451,9347896
1439,8572901,8435873,7659783,7508637
1440,5867520,9609786,9327533,5600240
1441,6062153,7983009,6545310,6526664
1442,6236719,5636735,5541951,7287346
1443,8189444,7718749,5848043,7995557
1444,5988522,7189349,5662164,5314847
1445,7769839,6580944,6820094,6382236
1446,8635210,9254793,6038004,5875329
1447,8461226,7499978,9231279,8207346
1448,7032853,6944184,6996143,8360303
1449,9291407,5616730,9547042,5659961
1450,6197220,7031434,9430009,8249046
1451,7183919,5878239,8403799,6215801
1452,7875520,5732851,9748844,9221803
1453,6160173,6576069,7489386,6974273
1454,6919414,5094232,9391991,9830473
1455,9099756,7048274,7408850,8479570
1456,8917916,9608163,8380206,8312961
1457,5656112,8193583,5944497,5917077
1458,9107985,7586295,8059661,9420862
1459,6781793,8501219,5522897,5363018
1460,7705291,6881966,7170258,6649266
1461,6725855,8842667,6288524,5047888
1462,8565259,8981596,8884440,9205561
1463,9177873,9776862,9987421,9871076
1464,6415148,5889692,5589514,8273970
1465,5399855,6535592,9141164,5281460
1466,6246982,9834221,8391753,8332604
1467,8840186,5571322,6871890,7372063
1468,8522174,5027200,8532103,6313837
1469,7722668,8572434,7103585,6256359
1470,9286590,8342610,8201943,6802945
1471,6182895,6760048,6505411,8478113
1472,9905121,6384336,7708052,8294825
1473,8927962,8171236,5982346,5355306
1474,5324638,8045210,9500568,5177425
1475,7921626,6966002,8637976,5978495
1476,7600901,6363586,7386088,7018104
1477,9221545,8387465,7747633,5160035
1478,7870077,9461811,6459110,9223907
1479,5206864,8876191,7146865,7619903
1480,7592388,5796323,7264963,9482200
1481,5917624,8313357,8940741,8928687
1482,5717485,9693750,6515460,8176517
1483,6053165,7834517,8371158,9134346
1484,8733261,6305483,8367278,8864919
1485,7245009,8722955,6164722,6034874
1486,5711520,5120844,7696108,7736851
1487,8276303,9020948,5133061,7476952
1488,8949424,7616306,5239044,7543088
1489,8410334,8936972,7967534,5805479
1490,6925562,6883900,5581376,6224233
1491,5158404,7217005,5241666,6436880
1492,5167286,7313560,9287469,8836783
1493,5067305,6841320,8300794,9777408
1494,8895590,5052508,6144363,6238076
1495,7301446,5645657,6092513,7545614
1496,6264901,5550902,6964721,9111073
1497,5118084,7487381,9097323,5749818
1498,8063533,8317893,8105379,5594798
1499,7288047,7029984,6281602,8320092
1500,7053163,5776034,6686812,5637057
1501,8949314,7148749,6686323,6055891
1502,8219525,6924287,7796405,9056826
1503,5483053,5215895,7870238,9504402
1504,6241220,6188912,8610697,8681399
1505,7010746,9407527,8736741,7440417
1506,5669174,8293660,6253753,9710913
1507,9109918,5192496,8565803,7820134
1508,7414857,5087011,9464819,8027451
1509,9968050,6023426,6663431,8417765
1510,5242284,5898285,7852679,5641821
1511,7495143,7655876,9519199,8225100
1512,7304281,7907987,7243518,9439884
1513,7792411,9755143,9530791,9111179
1514,7754832,9988507,7303226,7580006
1515,5234293,7439582,6176986,5921723
1516,7538374,5564164,7575445,5816281
1517,5270382,9509324,7225906,5964838
1518,6454788,7304026,9763312,7276900
1519,8410364,9792210,6771380,5176350
1520,8001215,6178744,9063771,8954849
1521,8785203,8894033,5624810,6308930
1522,8987844,8957650,9456035,5561967
1523,7567691,8373003,5744930,5374764
1524,5575385,5689510,5529312,8000634
1525,9484944,7488898,8809780,8762511
1526,8583036,6336546,5683878,6515467
1527,5455314,7974636,7892764,9559937
1528,8804990,8287738,8670796,7993822
1529,7330405,7513300,5469776,7973776
1530,7131998,7417157,5079155,8222261
1531,6116242,8825201,5222871,8309077
1532,6188840,5506044,6003937,9495622
1533,8777533,8085047,7526141,8294878
1534,6145184,6543873,7577532,7989268
1535,9691206,7977991,5267557,7161788
1536,7163503,6675297,5725196,8529141
1537,7075127,8544858,7865770,5199248
1538,9629971,6641521,6430009,8707177
1539,8947839,6478550,9012202,7401272
1540,9395673,5673827,6406887,5672919
1541,8267450,8010939,5852778,6060240
1542,7280541,6024091,9309585,8593370
1543,9363061,6277265,6714313,6643915
1544,8604669,8831270,8990177,6499192
1545,6564791,9863454,9711438,7646355
1546,8300592,8812155,7507288,7654875
1547,6602848,7079515,5564324,7063343
1548,9139184,9743947,8246855,7052989
1549,6039333,8650673,7929291,5074805
1550,9699761,9122974,8870886,6948887
1551,9194918,7668121,6749282,8065983
1552,5336420,5886441,8405915,9510216
1553,6096241,8826841,7812040,7284706
1554,5573723,8380535,8008583,5469273
1555,9594473,9000368,6384302,7583129
1556,9534509,8396067,6643014,6540139
1557,5400480,5231484,7463193,5735343
1558,9674382,7484695,8592380,5794145
1559,8280150,5126330,8709081,8628537
1560,5704924,9659655,6865829,8951873
1561,5533102,8911529,9836935,9652803
1562,8038916,9654663,6766937,9235910
1563,6793128,5336186,5046763,7740015
1564,9496010,7932426,6875011,7338958
1565,6920544,8649830,7915536,5883915
1566,9413356,9000600,9330050,7301533
1567,6658160,9262457,9325097,6268771
1568,5418213,6333561,9598726,7954870
1569,9720488,5080081,8455230,8760237
1570,6921811,9744090,6380346,8223401
1571,6761280,6758281,6699640,7470045
1572,9915843,6409457,9305051,5024555
1573,9513071,6686506,7052420,8655849
1574,8149815,5820138,5148076,7349758
1575,6369231,7975981,5366374,6884040
1576,5982372,7391810,7058814,8416466
1577,8084317,6207855,6250535,7240356
1578,5497692,9072378,7424156,7446690
1579,5463686,9937497,8312585,7304777
1580,5991955,7839367,5770962,9122351
1581,8873416,8211066,8183867,8605977
1582,5587444,6220257,8208528,6271450
1583,8850553,8070796,8042355,6674176
1584,8905253,8265160,6954193,5733514
1585,8878503,9574866,6732243,9164662
1586,8795420,5864078,8716884,5762649
1587,6978314,9666802,8237752,6021389
1588,9558125,5696890,7196612,9107128
1589,6631268,5251526,9650277,8576913
1590,5357445,6853654,8352756,6742080
1591,5468005,5807763,8033786,7688082
1592,7406604,7000606,9323181,6580035
1593,7669384,5130036,6584702,8261737
1594,5978663,8861164,7906637,6704254
1595,6830584,5964837,5910484,8782640
1596,6272148,8819165,8195638,8709483
1597,9384700,8051359,9245210,6565284
1598,8437913,6159351,7191617,5222298
1599,5369209,9227446,5407473,9086002
1600,7537220,9819566,5661224,5396352
1601,6593903,5459016,6436113,7812237
1602,9232010,8757678,6406482,7117044
1603,5892327,5166945,9608218,5051883
1604,5207263,9441170,6202772,6693617
1605,9501052,9115333,6812476,5760308
1606,9129642,5578863,5671701,8121259
1607,9356879,5610255,7363495,8401399
1608,9857985,8344436,6167939,5554248
1609,5273218,7259706,5975129,9511869
1610,5340266,7222723,6219989,9036460
1611,6214879,7150107,6217521,6935780
1612,5764940,5141456,6571730,9749402
1613,9540163,9558174,9241790,6625359
1614,8724436,5847297,8996764,9029326
1615,6898026,5908105,5981761,5566033
1616,9315886,6614584,9836547,6708648
1617,6449503,5347283,8519517,9562991
1618,8483291,6951690,7463905,6853567
1619,5733058,7064856,8350901,8323013
1620,9678834,5259691,7867987,7933451
1621,6077223,6585732,8051447,6511005
1622,5889045,8949270,8300797,7540703
1623,6434057,5828660,6108176,5122682
1624,5510038,6699259,6031807,7409729
1625,7115570,6518147,9372890,9675705
1626,5860827,9084719,5140396,9679709
1627,6406799,7425167,8378061,9547307
1628,9071122,6958216,6310667,7756733
1629,7765227,5979649,5662779,9822290
1630,6326980,5686366,8972035,8124320
1631,6587073,8883881,7537461,5398015
1632,5043511,6227825,9299614,8593683
1633,9774092,5174735,7224769,8030449
1634,5592516,6941622,8550303,5392659
1635,8715165,8096866,7295460,6833929
1636,6935960,9280906,7800120,5805060
1637,8064638,6047123,8064583,5889349
1638,9104550,8025297,5754127,8756061
1639,5817994,6573144,9517834,5713715
1640,6230993,9404909,6472133,9609593
1641,8488990,7844369,7625066,8578906
1642,7589266,9615175,7905027,8373918
1643,8640381,7199850,8647541,9325840
1644,8197387,5456067,9991510,6030419
1645,7077581,5318996,7067137,7935955
1646,7935304,8873995,7265971,9012435
1647,7726634,8861798,6831909,5494889
1648,5107226,9234977,7598424,5554938
1649,8067624,7837883,7530669,7299559
1650,6759310,9762026,7260845,6494233
1651,5911178,8429065,6193164,7933865
1652,7207589,6123144,8267733,8685561
1653,6298297,7034540,7708344,7566226
1654,8715876,8053207,9175523,8051964
1655,8354373,7122078,9967551,8051758
1656,6395392,8485410,8810904,6580357
1657,9805093,7206597,7024852,5658112
1658,5824448,7837557,7444969,9296052
1659,6708516,6471205,7278378,9543121
1660,9188153,9536288,9732608,6155296
1661,5358908,9321725,6755184,8163275
1662,7859127,8462079,7958372,5362872
1663,8544194,8175372,8140653,9435037
1664,9259953,5738862,5005175,6246968
1665,5911032,6841702,9646627,6896799
1666,9924495,7233950,9481563,5712364
1667,6319663,8127995,8080106,8813495
1668,8096904,9141407,7661981,9489104
1669,8116803,5231414,7159263,7340474
1670,5776584,9596314,5121017,9119173
1671,8563434,5333402,9132497,7260373
1672,5724146,7051635,9519372,8083448
1673,7385510,6585157,9927945,9455420
1674,8407686,5293888,8133831,6825359
1675,6293118,5577525,9373554,8578486
1676,6651385,5634199,6358091,6226583
1677,6909027,8575853,8425490,5686297
1678,8601584,8499421,8811468,5987856
1679,8401244,5211579,8508238,9819228
1680,5128386,8047903,9780316,9723167
1681,9254212,8435714,5206958,9413881
1682,6522438,6564420,7033716,5218735
1683,7297396,9287573,5763539,9075496
1684,8150106,6863380,6921284,6556839
1685,5112404,5404769,6558451,7485529
1686,7872064,6446780,7583899,9985554
1687,5788715,9454810,6773183,7767992
1688,6535043,7538607,6369082,9259201
1689,6782048,5337297,6070903,8262943
1690,6289050,5724930,8665616,9206175
1691,6625132,7165131,6372429,8074805
1692,6541239,8008018,5224011,5246390
1693,9969981,6620880,6928783,8253616
1694,9490965,7388081,6346721,5567521
1695,8036970,7895640,9054393,6388193
1696,6001351,5209601,6779137,6665852
1697,9246352,6640459,5287080,6002077
1698,9444665,6612194,7856354,7401384
1699,7778149,9915659,6007371,9275588
1700,5739978,9271978,6452762,7114675
1701,9485844,5172305,6364445,5715362
1702,7709784,7414788,6462580,6877246
1703,7166277,5828784,7681641,9164588
1704,5882531,7083664,6989835,6661904
1705,9962000,8445879,9382296,6385777
1706,9583449,8024788,5822053,7764985
1707,5522863,5677254,7134350,5101516
1708,6437482,7518458,5346023,5606614
1709,6662693,5755861,7266130,6879350
1710,5407835,6603903,8354156,6795382
1711,8322836,5309908,5328020,5996471
1712,5125341,5027367,8921667,6713834
1713,7771566,7174912,5189859,8153265
1714,8426629,7688918,6509567,9140755
1715,6657631,7149229,5465880,8596784
1716,5548439,7322574,6773892,6617306
1717,6481547,7256179,7025920,6981693
1718,7087213,7812474,7665966,9088331
1719,6787548,9297370,8168459,9413796
1720,9428972,9536111,9686752,5806115
1721,8019347,9962878,8172768,7064301
1722,5510571,8366099,5977715,7187125
1723,7156848,5388138,6447782,9246340
1724,5253884,6565489,9019341,7649220
1725,5056466,5529852,7438300,7653679
1726,7679693,9880312,9768600,5314940
1727,6851672,5150688,5663910,6885136
1728,6500684,6036766,8817791,7939509
1729,6787064,5678480,6594025,7864074
1730,6623741,5331173,5079848,5008393
1731,9056981,8364513,7885872,5228180
1732,8687423,7387801,7932293,9133105
1733,6307547,7635693,5764669,9492237
1734,9749897,7283069,5716176,6490191
1735,6397045,7066116,8316824,6221345
1736,7651355,7501571,6722115,7832873
1737,6888566,5085687,5917138,5635962
1738,6078778,5676913,9426777,5161196
1739,6687609,8085881,9326360,7132704
1740,8454525,6681873,5385917,8013413
1741,8325556,9790887,5273111,9220478
1742,6150758,6369594,7373884,7743439
1743,5869621,6954355,9054334,6136626
1744,8876998,6731319,6780279,8464656
1745,8978273,9141911,5108692,8098355
1746,8508264,5088307,5487215,9698738
1747,5021522,7096033,8758540,7861024
1748,6121055,9148206,5458797,9253450
1749,5794807,6147369,9643047,5773862
1750,7996808,7564372,6281775,8404563
1751,9614665,5566467,8860347,9435423
1752,8974630,6744300,6770673,6675315
1753,8343448,7436761,7238668,8204764
1754,5138761,9554140,7607177,5195480
1755,8984506,5929509,8272858,7164142
1756,8601059,5099971,7737348,7566913
1757,8324777,9012486,6301829,9049822
1758,5276783,7517915,9640743,7727777
1759,9793248,6885332,9135927,9659961
1760,7221397,6461895,9968236,6281767
1761,5326735,5259930,6099613,6612570
1762,8898018,9895453,5510975,9026753
1763,6004431,5975154,5877026,7028277
1764,6248462,8548207,5635652,8662918
1765,5953600,9849763,7047102,8065196
1766,8414173,5687041,8052569,6259676
1767,6817882,7763475,5562998,6769880
1768,7676301,9463201,8110385,5785255
1769,9247999,6603122,6360302,7154539
1770,5365272,7604615,7797808,8763563
1771,8764438,8585057,5348076,5974313
1772,5624349,9440987,7633311,7693934
1773,5365066,7815648,5877029,7318709
1774,9316347,6033271,7717240,9443065
1775,8737364,7494050,7355796,8080432
1776,5903309,8095530,9525818,5661804
1777,6186466,8919771,5206638,5051956
1778,7627512,6385718,5627981,5742397
1779,7325312,8861205,9240910,6895571
1780,7209743,9783216,7080829,9263404
1781,7422078,5915073,9628727,7268724
1782,9084479,7369386,8659458,8122229
1783,7752435,5789911,6635916,9777013
1784,9855224,6270970,6129092,6873869
1785,5416117,7498742,9518862,6005092
1786,7583427,9988349,6746658,7550642
1787,6925658,8301826,7061896,9312550
1788,9661364,8164099,6855669,6995200
1789,7214643,8977541,9349022,6081093
1790,7388552,9138702,9276026,7926734
1791,6059056,9996819,8013099,8349838
1792,8014602,6828469,6455849,8599877
1793,5106130,7909630,9169327,9751097
1794,6378041,8960642,5933354,7502600
1795,5592215,9230442,9861195,6116793
1796,7891080,8969203,5073279,7249071
1797,8017417,5679763,8257035,7768236
1798,5292686,5492783,7296931,5157728
1799,6682851,8541844,7496135,6118070
1800,6373236,5707206,5393109,8132524
1801,5187925,8356950,5936691,7191664
1802,5260159,9081599,8673221,6453533
1803,8245415,5984524,6892588,8887058
1804,6697029,9883784,7914624,7378668
1805,8879866,8799481,9196793,7271938
1806,9158067,5543957,6648746,8566252
1807,9198119,9892622,8459924,9339330
1808,9853419,9923590,9688231,5478626
1809,9597749,9287121,6056831,7230488
1810,9448568,7541166,9170314,5176017
1811,8396480,5543063,8626167,7555761
1812,5810488,5789780,5107352,7976353
1813,7311229,5935617,6341848,8535629
1814,5997661,7769605,5452369,6001592
1815,5782821,8830420,5527508,7469957
1816,8554028,7610206,7517525,9773342
1817,5279504,9187858,7489029,9566747
1818,5324790,6087933,9264083,5636783
1819,5194535,5173340,9497319,7326451
1820,5436143,7830924,5208760,7289543
1821,7130861,5405058,5679367,8340120
1822,5242579,5786440,6432016,9233333
1823,6923051,9675136,9105966,7378599
1824,7115263,8773345,9577729,8456581
1825,8498907,5071756,6437911,5907256
1826,6546551,5127852,8047346,5725319
1827,8415002,6372479,5537951,5653762
1828,7678374,9821360,7608794,9788369
1829,5197431,8605728,7662295,6288152
1830,8326633,6731800,8184449,8461754
1831,9161235,5286862,8951465,5973966
1832,5025677,6633981,5733965,9805128
1833,6909304,8050013,8546831,9594596
1834,8162953,7973714,7642991,7013167
1835,6070797,6864106,7622255,8471952
1836,5696550,5646040,7920527,8849431
1837,5860820,6246282,6598155,5394580
1838,8285379,7309878,8629313,6085572
1839,5982596,6844265,8006714,6603882
1840,7016752,5295202,7532995,8669118
1841,6029247,7464415,9733483,7276246
1842,8308484,7951615,8767502,9259489
1843,5789773,8850351,8093846,5849311
1844,5615706,9022209,8988557,9943108
1845,8476558,5105086,7318772,6943292
1846,8600124,6103286,9282083,7017942
1847,5964684,8435434,8719998,6586770
1848,6051848,5415666,5231862,8515922
1849,7303951,6023289,9910898,6683757
1850,8529496,8991714,6913070,5338104
1851,5394109,5530753,7261506,6937193
1852,8540896,7734023,9030037,5575190
1853,6608996,9681712,5737793,9131726
1854,7193681,7994750,9860007,8150085
1855,9885320,9123578,9905052,6186504
1856,6216456,9159602,9692865,6030236
1857,7558942,7250382,7969246,8034345
1858,7896202,8189653,6109938,8500809
1859,7348179,7914243,8663047,9116434
1860,5137495,8198980,6627696,8642836
1861,6278977,6428118,9450749,8328713
1862,5231611,9750495,7478521,8605165
1863,6954946,8527671,9926544,9365863
1864,8513933,7377795,9345691,6468297
1865,6244311,7957653,7698732,6170102
1866,9470818,9288830,5425202,8038048
1867,6487963,8306199,9483041,5195827
1868,9945534,6937944,6528386,7410740
1869,6311910,9734746,9767285,8676837
1870,7446308,6804743,9114740,8827326
1871,6259680,5683073,9808743,7864365
1872,6894434,8262377,7282982,6186861
1873,9782441,8591629,9760684,6686604
1874,6533599,6216741,9299073,5992965
1875,6247773,7849207,5531079,5870679
1876,5945814,7115769,9678740,9198826
1877,6824619,8786130,6178860,6236875
1878,9143602,6293127,9368035,5188360
1879,8754359,7830025,6377603,9512196
1880,7637162,7447743,8690517,7699106
1881,6536667,9501830,8843765,5786507
1882,8224213,5111928,7957099,8520552
1883,6745951,7437570,6581051,9393337
1884,7031083,9764053,7146067,6235287
1885,8505481,7030409,7731696,5817282
1886,5079226,6405325,6008307,5189653
1887,6869826,8044287,7419941,7207220
1888,7544955,5606184,7341129,6423889
1889,8798856,7120931,8258659,5948126
1890,6559907,9943528,9419405,8340952
1891,6400885,9502913,5887093,6545031
1892,6779372,9099218,6244484,7713190
1893,7286947,9583475,9585469,7795015
1894,6337291,8212147,7246608,7796548
1895,9064723,7806952,7273236,7151283
1896,6101314,9325088,5485990,8920726
1897,9398913,6681719,7305893,8717658
1898,9886329,6606043,8986812,8323543
1899,9407060,5969903,6715094,7933142
1900,9228549,6219769,7766096,7829506
1901,6035279,8522599,8398948,7028986
1902,8708907,7768617,7279185,9397995
1903,6836543,8066672,9179103,9405498
1904,8421690,7761481,9729837,9941254
1905,5164407,6797217,7269949,7668110
1906,5982774,6614353,6786242,5397224
1907,8475733,9219372,7414738,9152613
1908,5857409,6971410,8130773,6438831
1909,5056279,6942171,5756474,6454581
1910,5520711,9433997,8594737,9646876
1911,8145678,9034753,7982054,5840609
1912,8947312,7346009,5807663,6037232
1913,6235683,9817117,7157723,6647443
1914,8053880,9022423,6931995,8927283
1915,8827994,7398846,5849007,7785899
1916,9297409,7438794,6107156,7866010
1917,7810165,6269388,7443011,7863526
1918,8782628,7968714,7535475,5459031
1919,9366252,9554773,6182503,9690916
1920,8284061,7808709,6858468,7797777
1921,6261054,8318256,5710641,7907419
1922,7805270,6782887,8234058,7658113
1923,8336442,8847860,5125755,9113484
1924,9098748,6478167,5872336,7085084
1925,6566893,7915707,8916616,5259160
1926,7877684,7677767,6782329,6569675
1927,9367160,5138395,7297103,8664535
1928,9157561,6719750,6508983,9207186
1929,7993602,8525483,9219652,6747891
1930,7023402,7306673,7531753,6382309
1931,6616233,7219751,5333967,6556840
1932,5148257,9015218,5784777,8791111
1933,7194826,9447690,5087680,9763900
1934,9432438,5737720,9455259,6149062
1935,9597260,5308744,9318947,9207881
1936,8427049,9152087,8797063,9793619
1937,9716504,6657326,9679971,7392913
1938,7710199,7671491,7894503,6193666
1939,8813888,6466623,5545335,5365215
1940,5822802,9374003,9782748,5086375
1941,7234280,5231501,6999817,6707993
1942,9767245,6410695,5511597,7776815
1943,9482779,6366287,9709808,8355157
1944,8475385,7039595,7556602,6185643
1945,8646559,5604721,6268136,7884861
1946,7459416,8803931,9491361,6216240
1947,7881859,9814156,7461288,9156697
1948,9504134,8598434,5162920,5163508
1949,8399552,6601825,7405015,5841458
1950,5712160,7402066,9542074,7044895
1951,7112195,9864293,8036663,8379216
1952,6728799,7562012,6385241,6980782
1953,8374611,9978467,7363520,9406054
1954,7236877,7630357,9537164,6370958
1955,5458450,8224250,8145683,9140254
1956,6132646,9378326,6203346,5187109
1957,6905446,5471239,8164821,7140929
1958,5376619,8695805,8005045,8337568
1959,6158785,5067385,7714243,7060783
1960,7788915,9584112,9762508,7184165
1961,8812187,6664608,9560732,9900147
1962,5138551,8105181,9924075,7557636
1963,6068564,8659963,7247638,6052034
1964,5935702,6576915,9933853,8971189
1965,6873235,6012200,7609224,5185523
1966,6232822,8318089,8971196,5960271
1967,5416241,8143716,8270171,6479356
1968,8927030,8295773,5147710,9979299
1969,6766149,5585976,5162926,9656929
1970,9170057,9292778,8238426,8380075
1971,6681259,7715690,7822035,5565494
1972,6805110,8017891,9582568,5984611
1973,7290922,6932567,7693894,8166315
1974,7105967,7083205,8511265,9823167
1975,7461216,6044214,7899427,8892676
1976,5866799,7640324,9242797,9205823
1977,9188103,7034239,9479628,5673800
1978,9471595,8744086,7279648,8719834
1979,9942579,7005766,7534486,7308857
1980,7294251,7135886,6891485,8417055
1981,5118941,8224545,5123799,8029810
1982,8872376,7012898,9721255,7654394
1983,6598051,5089770,7131973,8179851
1984,5210364,7878426,8647342,8927248
1985,9422874,8730085,5101101,6100596
1986,9149989,8753188,5085981,6094165
1987,6980219,8557620,6745868,7370343
1988,7725192,8338574,8353279,9246653
1989,5717503,5266563,5423798,5807062
1990,6836771,7893632,9807831,8003315
1991,8311796,7978858,8175899,7805815
1992,9388997,9733962,8150995,7357292
1993,6895387,9425321,6431963,8417683
1994,5022496,7840787,9756589,9577457
1995,5405066,9751377,8255435,5442209
1996,9598367,8293596,7866106,6343163
1997,8130209,5241372,7791966,6040320
1998,5708747,5083040,7382880,8550178
1999,5151580,9977979,6053198,9239190
2000,5037116,7973051,9326452,6948901
2001,6802761,9773958,5005824,8623858
2002,8452598,9504303,8225279,7457254
2003,6767614,7244359,9357422,9800085
2004,5691270,8537978,8881351,6207283
2005,5039733,6188839,6897121,8992679
2006,7883075,5525876,5401493,8682122
2007,8509339,9458727,5541916,9652523
2008,9735492,9614951,9459990,9815395
2009,9098154,9616754,6286036,9089580
2010,5100705,6831939,7978192,7764241
2011,9724171,7269569,9620673,5543038
2012,9800457,8548000,8276978,9712062
2013,6285218,7026693,9324343,8367991
2014,7479280,5384143,7131702,7875306
2015,5129318,7454479,5275965,5518177
2016,9567562,7165990,9405681,6222552
2017,8342547,8166569,8635287,8067173
2018,7785527,5343961,8685508,9448140
2019,5418813,6026266,5091265,8709370
2020,8095279,6847340,7408260,8642236
2021,8447514,6572447,5340500,5050348
2022,6503756,9660994,9077383,8479183
2023,9494485,7888465,7310409,6650072
2024,5611649,6033633,9991161,9037706
2025,9687990,9768011,8394937,8857270
2026,5463578,6367006,6106288,9103037
2027,5221660,6069111,6821880,7051873
2028,8787513,6021355,5537435,5929241
2029,9624991,5366444,5405914,8122452
2030,6466932,7915832,8191308,6394330
2031,6025755,5848494,5277253,8574672
2032,7495847,8165485,5410276,9039135
2033,8046344,6418051,6721916,6929483
2034,8834237,7350488,5596972,5640128
2035,7209691,9613260,5105711,5948422
2036,5054736,7487186,9929820,5677062
2037,5916091,8461850,5392959,7053204
2038,7686485,9345551,9825902,7816898
2039,8516983,6979235,5344093,6575697
2040,6460849,7537371,9981158,8538633
2041,9874480,6781147,6450266,5785267
2042,8926632,6866692,6560725,8641993
2043,7493002,7454611,9105891,8904737
2044,6911783,8096874,5682465,8596312
2045,7649327,5037895,6808705,9977375
2046,5672593,6738179,8648838,7163920
2047,8406545,9183633,9800582,9014937
2048,9919601,9101068,6874083,5675362
2049,5618758,5319153,5163267,6656128
2050,7781429,7240983,5263594,7204693
2051,8156057,9203466,5158609,7235377
